,Postal Code,x,y,inseecode,place,population,density
0,1400,-0.109745495,0.7467118,1001,L'Abergement-Clémenciat,579,36
1,1640,-0.10404809,0.7433976,1002,L'Abergement-de-Varey,159,17
2,1090,-0.111286946,0.74572754,1003,Amareins,0,0
3,1500,-0.104951024,0.74262273,1004,Ambérieu-en-Bugey,10455,425
4,1330,-0.11026309,0.7441350999999999,1005,Ambérieux-en-Dombes,1156,73
5,1300,-0.10233062,0.73880714,1006,Ambléon,76,13
6,1500,-0.104850315,0.74349034,1007,Ambronay,1996,59
7,1500,-0.10518540400000001,0.74235684,1008,Ambutrix,595,114
8,1300,-0.10162863,0.7396069000000001,1009,Andert-et-Condon,262,38
9,1350,-0.09949245,0.74142003,1010,Anglefort,687,23
10,1100,-0.10073456,0.7466843000000001,1011,Apremont,341,23
11,1110,-0.103045225,0.7432826,1012,Aranc,291,13
12,1230,-0.10344414,0.74156994,1013,Arandas,128,9
13,1100,-0.10025716,0.7482428000000001,1014,Arbent,3369,143
14,1300,-0.10175825,0.7384499,1015,Arbignieu,387,30
15,1190,-0.10847984,0.75213236,1016,Arbigny,314,18
16,1230,-0.10337803,0.74214846,1017,Argis,405,52
17,1510,-0.10233622,0.74056524,1019,Armix,14,2
18,1480,-0.11130065,0.74396914,1021,Ars-sur-Formans,851,155
19,1510,-0.10089554,0.74069655,1022,Artemare,961,256
20,1570,-0.10964987,0.75080764,1023,Asniéres-sur-Saéne,68,15
21,1340,-0.10647317,0.74866486,1024,Attignat,1776,95
22,1380,-0.10899462,0.7495542,1025,Bégé-la-Ville,1959,49
23,1380,-0.10922900599999999,0.74928933,1026,Bégé-le-Chétel,751,853
24,1360,-0.108203195,0.7409539,1027,Balan,1668,92
25,1990,-0.110015936,0.7461582,1028,Baneins,377,42
26,1270,-0.10503938,0.75054884,1029,Beaupont,422,30
27,1810,-0.101152726,0.747464,1031,Bellignat,3233,413
28,1360,-0.10793315,0.741508,1032,Béligneux,2319,174
29,1200,-0.09904242,0.7445925999999999,1033,Bellegarde-sur-Valserine,11153,731
30,1300,-0.101290375,0.7389832,1034,Belley,7807,348
31,1130,-0.09935557,0.74726367,1035,Belleydoux,232,13
32,1470,-0.10357634,0.7404132,1037,Bénonces,249,16
